Timestamp,Event,Event Data
16:19:42,026 2016-05-26,Start Shutdown Purge,7,71 
16:19:42,126 2016-05-26,Start Shutdown Purge,7,81 
16:19:42,226 2016-05-26,Start Shutdown Purge,7,91 
16:19:42,327 2016-05-26,Start Shutdown Purge,8,01 
16:19:42,427 2016-05-26,Start Shutdown Purge,8,11 
16:19:42,527 2016-05-26,Start Shutdown Purge,8,21 
16:19:42,627 2016-05-26,Start Shutdown Purge,8,31 
16:19:42,727 2016-05-26,Start Shutdown Purge,8,41 
16:19:42,827 2016-05-26,Start Shutdown Purge,8,51 
16:19:42,927 2016-05-26,Start Shutdown Purge,8,61 
16:19:43,027 2016-05-26,Start Shutdown Purge,8,71 
16:19:43,128 2016-05-26,Start Shutdown Purge,8,81 
16:19:43,230 2016-05-26,Start Shutdown Purge,8,91 
16:19:43,329 2016-05-26,Start Shutdown Purge,9,01 
16:19:43,429 2016-05-26,Start Shutdown Purge,9,11 
16:19:43,529 2016-05-26,Start Shutdown Purge,9,21 
16:19:43,629 2016-05-26,Start Shutdown Purge,9,31 
16:19:43,729 2016-05-26,Start Shutdown Purge,9,41 
16:19:43,829 2016-05-26,Start Shutdown Purge,9,51 
16:19:43,929 2016-05-26,Start Shutdown Purge,9,61 
16:19:44,030 2016-05-26,Start Shutdown Purge,9,71 
16:19:44,130 2016-05-26,Start Shutdown Purge,9,81 
16:19:44,232 2016-05-26,Start Shutdown Purge,9,92 
16:19:44,332 2016-05-26,Start Shutdown Purge,10,02 
16:19:44,432 2016-05-26,Boiler Initialized,0 
16:20:01,858 2016-05-26,Boiler Ready,0 
16:20:04,559 2016-05-26,Start Pre-Purge,0,00 
16:20:04,660 2016-05-26,Start Pre-Purge,0,10 
16:20:04,759 2016-05-26,Start Pre-Purge,0,20 
16:20:04,860 2016-05-26,Start Pre-Purge,0,30 
16:20:04,959 2016-05-26,Start Pre-Purge,0,40 
16:20:05,060 2016-05-26,Start Pre-Purge,0,50 
16:20:05,159 2016-05-26,Start Pre-Purge,0,60 
16:20:05,259 2016-05-26,Start Pre-Purge,0,70 
16:20:05,359 2016-05-26,Start Pre-Purge,0,80 
16:20:05,461 2016-05-26,Start Pre-Purge,0,90 
16:20:05,560 2016-05-26,Start Pre-Purge,1,00 
16:20:05,660 2016-05-26,Start Pre-Purge,1,10 
16:20:05,760 2016-05-26,Start Pre-Purge,1,20 
16:20:05,860 2016-05-26,Start Pre-Purge,1,30 
16:20:05,960 2016-05-26,Start Pre-Purge,1,40 
16:20:06,060 2016-05-26,Start Pre-Purge,1,50 
16:20:06,160 2016-05-26,Start Pre-Purge,1,60 
16:20:06,260 2016-05-26,Start Pre-Purge,1,70 
16:20:06,360 2016-05-26,Start Pre-Purge,1,80 
16:20:06,460 2016-05-26,Start Pre-Purge,1,90 
16:20:06,561 2016-05-26,Start Pre-Purge,2,00 
16:20:06,660 2016-05-26,Start Pre-Purge,2,10 
16:20:06,761 2016-05-26,Start Pre-Purge,2,20 
16:20:06,861 2016-05-26,Start Pre-Purge,2,30 
16:20:06,961 2016-05-26,Start Pre-Purge,2,40 
